uniqueID,universityName,courseTitle,courseDescription,universityDescription
0,UNIVERSITY OF TECHNOLOGY SYDNEY,Bachelor of Information Technology - Data Analytics,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.This course adopts a practice-based approach to IT education and the course content is a mix of theory and practice. As well as gaining strong technical skills in IT, students gain skills in business analysis, problem-solving, teamwork and communication. Employers look for graduates with industry experience and, in this course, students are exposed to real IT problems.Scholarships View all scholarshipsInternships","The University of Technology Sydney (UTS) is one of the top 100 universities in the world (QS 2025), making it an excellent choice for any students who wish to boost their career prospects and learn in a vibrant and dynamic environment.Degrees at UTS include fieldwork, case studies and other hands-on experiences. Subjects are built with industry to equip students with relevant skills. And research programs connect students with the leading minds of their field.As an advanced research university, students can expect to learn from experts who offer a wealth of experience in their respective industries. The university provides facilities to match, with spaces designed to mimic real working environments available to students across all faculties.UTS is in the heart of Sydney, the 6th best student city in the world (QS 2025). Here, students move between study, work and leisure with ease. UTS is next to Central Station, so students can hop on a train or bus to get around the city and enjoy everything that Sydney has to offer.UTS provides:	A support centre for international students	English language and study help	A careers service	Medical and mental health support	Housing support	Over 180 student-run clubsTEQSA: PRV12060"
1,UNIVERSITY OF TECHNOLOGY SYDNEY,Bachelor of Information Technology - Interaction Design,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.This course adopts a practice-based approach to IT education and the course content is a mix of theory and practice. As well as gaining strong technical skills in IT, students gain skills in business analysis, problem-solving, teamwork and communication. Employers look for graduates with industry experience and, in this course, students are exposed to real IT problems.Scholarships View all scholarshipsInternships","The University of Technology Sydney (UTS) is one of the top 100 universities in the world (QS 2025), making it an excellent choice for any students who wish to boost their career prospects and learn in a vibrant and dynamic environment.Degrees at UTS include fieldwork, case studies and other hands-on experiences. Subjects are built with industry to equip students with relevant skills. And research programs connect students with the leading minds of their field.As an advanced research university, students can expect to learn from experts who offer a wealth of experience in their respective industries. The university provides facilities to match, with spaces designed to mimic real working environments available to students across all faculties.UTS is in the heart of Sydney, the 6th best student city in the world (QS 2025). Here, students move between study, work and leisure with ease. UTS is next to Central Station, so students can hop on a train or bus to get around the city and enjoy everything that Sydney has to offer.UTS provides:	A support centre for international students	English language and study help	A careers service	Medical and mental health support	Housing support	Over 180 student-run clubsTEQSA: PRV12060"
2,UNIVERSITY OF TECHNOLOGY SYDNEY,Bachelor of Information Technology - Enterprise Systems Development,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.This course adopts a practice-based approach to IT education and the course content is a mix of theory and practice. As well as gaining strong technical skills in IT, students gain skills in business analysis, problem-solving, teamwork and communication. Employers look for graduates with industry experience and, in this course, students are exposed to real IT problems.Scholarships View all scholarshipsInternships","The University of Technology Sydney (UTS) is one of the top 100 universities in the world (QS 2025), making it an excellent choice for any students who wish to boost their career prospects and learn in a vibrant and dynamic environment.Degrees at UTS include fieldwork, case studies and other hands-on experiences. Subjects are built with industry to equip students with relevant skills. And research programs connect students with the leading minds of their field.As an advanced research university, students can expect to learn from experts who offer a wealth of experience in their respective industries. The university provides facilities to match, with spaces designed to mimic real working environments available to students across all faculties.UTS is in the heart of Sydney, the 6th best student city in the world (QS 2025). Here, students move between study, work and leisure with ease. UTS is next to Central Station, so students can hop on a train or bus to get around the city and enjoy everything that Sydney has to offer.UTS provides:	A support centre for international students	English language and study help	A careers service	Medical and mental health support	Housing support	Over 180 student-run clubsTEQSA: PRV12060"
3,UNIVERSITY OF TECHNOLOGY SYDNEY,Bachelor of Information Technology,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.This course adopts a practice-based approach to IT education and the course content is a mix of theory and practice. As well as gaining strong technical skills in IT, students gain skills in business analysis, problem-solving, teamwork and communication. Employers look for graduates with industry experience and, in this course, students are exposed to real IT problems.CareersDepending on the major selected, career options include business analyst, IT project manager, network specialist, software developer, systems analyst or web developer.Scholarships View all scholarshipsInternships","The University of Technology Sydney (UTS) is one of the top 100 universities in the world (QS 2025), making it an excellent choice for any students who wish to boost their career prospects and learn in a vibrant and dynamic environment.Degrees at UTS include fieldwork, case studies and other hands-on experiences. Subjects are built with industry to equip students with relevant skills. And research programs connect students with the leading minds of their field.As an advanced research university, students can expect to learn from experts who offer a wealth of experience in their respective industries. The university provides facilities to match, with spaces designed to mimic real working environments available to students across all faculties.UTS is in the heart of Sydney, the 6th best student city in the world (QS 2025). Here, students move between study, work and leisure with ease. UTS is next to Central Station, so students can hop on a train or bus to get around the city and enjoy everything that Sydney has to offer.UTS provides:	A support centre for international students	English language and study help	A careers service	Medical and mental health support	Housing support	Over 180 student-run clubsTEQSA: PRV12060"
4,UNIVERSITY OF TECHNOLOGY SYDNEY,Bachelor of Information Technology - Business Information Systems Management,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.This course adopts a practice-based approach to IT education and the course content is a mix of theory and practice. As well as gaining strong technical skills in IT, students gain skills in business analysis, problem-solving, teamwork and communication. Employers look for graduates with industry experience and, in this course, students are exposed to real IT problems.Scholarships View all scholarshipsInternships","The University of Technology Sydney (UTS) is one of the top 100 universities in the world (QS 2025), making it an excellent choice for any students who wish to boost their career prospects and learn in a vibrant and dynamic environment.Degrees at UTS include fieldwork, case studies and other hands-on experiences. Subjects are built with industry to equip students with relevant skills. And research programs connect students with the leading minds of their field.As an advanced research university, students can expect to learn from experts who offer a wealth of experience in their respective industries. The university provides facilities to match, with spaces designed to mimic real working environments available to students across all faculties.UTS is in the heart of Sydney, the 6th best student city in the world (QS 2025). Here, students move between study, work and leisure with ease. UTS is next to Central Station, so students can hop on a train or bus to get around the city and enjoy everything that Sydney has to offer.UTS provides:	A support centre for international students	English language and study help	A careers service	Medical and mental health support	Housing support	Over 180 student-run clubsTEQSA: PRV12060"
5,UNIVERSITY OF TECHNOLOGY SYDNEY,Bachelor of Information Technology - Networking and Cybersecurity,"This course offers a sound education in all aspects of computing and information technology for students who intend to make a career in the profession, as well as providing a pathway to honours, postgraduate study or a research career.This course adopts a practice-based approach to IT education and the course content is a mix of theory and practice. As well as gaining strong technical skills in IT, students gain skills in business analysis, problem-solving, teamwork and communication. Employers look for graduates with industry experience and, in this course, students are exposed to real IT problems.Scholarships View all scholarshipsInternships","The University of Technology Sydney (UTS) is one of the top 100 universities in the world (QS 2025), making it an excellent choice for any students who wish to boost their career prospects and learn in a vibrant and dynamic environment.Degrees at UTS include fieldwork, case studies and other hands-on experiences. Subjects are built with industry to equip students with relevant skills. And research programs connect students with the leading minds of their field.As an advanced research university, students can expect to learn from experts who offer a wealth of experience in their respective industries. The university provides facilities to match, with spaces designed to mimic real working environments available to students across all faculties.UTS is in the heart of Sydney, the 6th best student city in the world (QS 2025). Here, students move between study, work and leisure with ease. UTS is next to Central Station, so students can hop on a train or bus to get around the city and enjoy everything that Sydney has to offer.UTS provides:	A support centre for international students	English language and study help	A careers service	Medical and mental health support	Housing support	Over 180 student-run clubsTEQSA: PRV12060"
6,QUEENSLAND UNIVERSITY OF TECHNOLOGY,Bachelor of Information Technology (Computer Science),"In this course you will:Learn how to use hardware and software to design and build systems that solve complex problems or issues associated with efficiency, usability, and security.Develop skills in software development and networked systems, with the opportunity to specialise in one of the following areas: information security, networks and communications, intelligent systems, data-centric computing, or user experience.Understand how a compelling blend of information technology skills and business knowledge shapes industries of the future.Get career-ready for roles such as software developer, systems analyst, programmer, mobile application developer, website developer, user experience designer, network administrator, security analyst, computer scientist, systems programmer, or data mining specialist.This course is accredited by the Australian Computer Society (ACS) and has international recognition. You will also have the opportunity to work on real-world projects with industry partners, gain practical experience through internships or placements, and network with potential employers.What to expect: In your first year, you’ll complete your common IT units, including an introduction to computer systems, learning design and building principles, and developing databases. You’ll also learn programming principles.In the Computer Science major, you will develop application design and development skills and learn discrete structures, software development, and networks. You’ll develop knowledge of advanced concepts of algorithms and complexity. You will have practical, hands-on experiences throughout your course. In addition, you will have the option of further specialisations by choosing a second major or minors.Your final year is your opportunity to showcase your skills with a major project. Your project will be for a real-world client and will be unveiled at the IT and Games Showcase, held at the end of the year.Customise your degree:You can customise your degree to suit your interests. You will learn software development and networked systems, with the opportunity to gain specific expertise in information security, networks and communications, intelligent systems, data-centric computing, or user experience.Foster your passion and shape your career through complementary study areas. As well as choosing a major area of study, your course includes a second study area, which can be either a second major or a double minor. A second major can complement your major area of study, allowing you to develop a significant depth of knowledge and skills in two discipline areas.Careers and outcomes:Computer science graduates are experienced in software development, familiar with networked systems and understand the underlying foundations of all modern computer-based technologies.Depending on your choice of study areas, opportunities exist to gain specific expertise in information security, networks and communications, intelligent systems, data-centric computing, or human-computer interaction.Possible careers:Computer scientistComputer systems engineerData scientistInformation security specialistMobile app designerNetwork administratorProgrammerProject developerSecurity analystSoftware developerSystems engineerSystems programmerScholarships View all scholarshipsInternships","Queensland University of Technology (QUT) is a young university with a global outlook. The university is home to more than 50,000 students, including international students from more than 140 countries. QUT is ambitious and ready to take on new challenges with a future-focused drive, striving to connect its students with the real world through practical hands-on learning that prepares graduates for the careers of the future.The university's courses prepare students to graduate real-world ready with the skills they need to find a career in Australia and abroad. Students can choose from more than 100 real-world courses and turn their passion into a rewarding career. QUT offers courses in architecture and built environment, business, communication, creative arts, design, engineering, English language and pathway programs, health, information technology and games, justice, law, mathematics and data science, science and teaching and education.QUT is committed to creating opportunities to connect its students and industry employers, and achieves this through integrated placements, internships and real-world, collaborative projects. Faculty staff at the university hold key consulting positions in industry and work on industry projects, in which they often involve students. QUT is first in Queensland and 111-120 globally for graduate employability (QS Graduate Employability Rankings 2022).Research activity at QUT is geared towards tackling the biggest issues faced by the planet. The university's transdisciplinary approach to research not only makes it more relevant to the modern world but also provides a transformative learning environment for students that enables them to hone their research skills, explore broader work environments and create real-world impact in collaboration with industry.TEQSA PRV12079"
7,RMIT UNIVERSITY,Bachelor of Information Technology,"RMIT's Bachelor of Information Technology will provide you with the knowledge to solve, support, analyse, troubleshoot and design everything from websites to business applications to programming networks for a wide range of public and private organisations.Design your own career pathway, with the opportunity to complete a major in cyber security, enterprise system development or digital innovation. There are 15 IT specialisations (minors) available through RMIT's IT degree, each offering industry-relevant subjects that reflect today’s emerging digital technologies. These subjects will develop your skills in a range of areas, including cloud computing, programming, data analysis, networking, data science, AI, bioinformatics and business information systems. Work integrated learning is embedded in this degree, enabling you to gain hands-on industry-experience and create a professional network while you study.Scholarships View all scholarshipsInternships","RMIT is a global university of technology, design, and enterprise. It is one of the world's top 200 universities (QS University Rankings 2025) and is known for its global excellence in higher education and applied research.RMIT's campuses are equipped with some of the most advanced technology and facilities in the world, providing the tools needed for truly ground-breaking research to be carried out.The university is one of the largest in Australia, and has existed since 1887. It's also the only higher education institution in the country that can use the prefix ""Royal"" alongside the official coat of arms of the monarchy, having been awarded patronage by Queen Elizabeth II.The main campus of the university is situated in Melbourne, one of the best cities in the country for students. There three campuses and two other sites in Australia, a further two campuses in Vietnam, as well as an industry and research collaboration centre in Spain. As well as this, the university has cultivated partnerships with 200 different institutions across over 40 countries worldwide.RMIT is ranked 123rd globally (QS Rankings 2025) and ranked 3rd globally in reducing inequality (Times Higher Education Impact Rankings 2022). Students from around the world are welcomed to the university, and it has an extensive exchange program for students who wish to study here as part of a degree undertaken elsewhere.The university is a specialist in applied learning, including practical and industry-based study. Working alongside some of the biggest brands in the world such as Deloitte, Adidas and BMW, RMIT offers programs that are designed to ensure students are ready to step into an exciting career upon graduation. Many of the programs include placement opportunities, work experience options and internships."
8,RMIT UNIVERSITY,Bachelor of Information Technology -BP162OPN9,"RMIT's Bachelor of Information Technology will provide you with the knowledge to solve, support, analyse, troubleshoot and design everything from websites to business applications to programming networks for a wide range of public and private organisations.Design your own career pathway, with the opportunity to complete a major in cyber security, enterprise system development or digital innovation. There are 15 IT specialisations (minors) available through RMIT's IT degree, each offering industry-relevant subjects that reflect today’s emerging digital technologies. These subjects will develop your skills in a range of areas, including cloud computing, programming, data analysis, networking, data science, AI, bioinformatics and business information systems. Work integrated learning is embedded in this degree, enabling you to gain hands-on industry-experience and create a professional network while you study.Scholarships View all scholarshipsInternships","RMIT is a global university of technology, design, and enterprise. It is one of the world's top 200 universities (QS University Rankings 2025) and is known for its global excellence in higher education and applied research.RMIT's campuses are equipped with some of the most advanced technology and facilities in the world, providing the tools needed for truly ground-breaking research to be carried out.The university is one of the largest in Australia, and has existed since 1887. It's also the only higher education institution in the country that can use the prefix ""Royal"" alongside the official coat of arms of the monarchy, having been awarded patronage by Queen Elizabeth II.The main campus of the university is situated in Melbourne, one of the best cities in the country for students. There three campuses and two other sites in Australia, a further two campuses in Vietnam, as well as an industry and research collaboration centre in Spain. As well as this, the university has cultivated partnerships with 200 different institutions across over 40 countries worldwide.RMIT is ranked 123rd globally (QS Rankings 2025) and ranked 3rd globally in reducing inequality (Times Higher Education Impact Rankings 2022). Students from around the world are welcomed to the university, and it has an extensive exchange program for students who wish to study here as part of a degree undertaken elsewhere.The university is a specialist in applied learning, including practical and industry-based study. Working alongside some of the biggest brands in the world such as Deloitte, Adidas and BMW, RMIT offers programs that are designed to ensure students are ready to step into an exciting career upon graduation. Many of the programs include placement opportunities, work experience options and internships."
9,RMIT UNIVERSITY,Bachelor of Information Technology (Professional) - Available from 01/01/2024,"The RMIT Bachelor of Information Technology (Professional) comprises three years of study followed by a one-year industry internship in your final year of study, organised with the assistance of the School of Computing Technologies. Your internship provides a unique opportunity to develop your professional and technical skills while creating and extending your professional network. This IT degree offers work integrated learning opportunities. You'll have the opportunity to put theory into practice via RMIT's industry-inspired programming studios, where you’ll be trained to apply your skills to large scale software application developments. You'll also complete a capstone project that will provide you with hands-on practical experience developing software in a workplace environment. With an extensive range of cutting-edge IT subjects that reflect today’s emerging technologies, and a focus on your professional development, you’ll have the freedom to find, and then follow, the career path that you are most passionate about.The School of Computing Technologies has a very strong Industry Advisory Committee, with members including staff from major IT companies with global and local presence. The committee provides feedback and input into the curriculum, ensuring the degree remains relevant to your needs as a graduate and to the needs of employers.You will be taught by academics with strong research backgrounds and links to industry, as well as experienced academics, guest lecturers and leaders working in industry.Scholarships View all scholarshipsInternships","RMIT is a global university of technology, design, and enterprise. It is one of the world's top 200 universities (QS University Rankings 2025) and is known for its global excellence in higher education and applied research.RMIT's campuses are equipped with some of the most advanced technology and facilities in the world, providing the tools needed for truly ground-breaking research to be carried out.The university is one of the largest in Australia, and has existed since 1887. It's also the only higher education institution in the country that can use the prefix ""Royal"" alongside the official coat of arms of the monarchy, having been awarded patronage by Queen Elizabeth II.The main campus of the university is situated in Melbourne, one of the best cities in the country for students. There three campuses and two other sites in Australia, a further two campuses in Vietnam, as well as an industry and research collaboration centre in Spain. As well as this, the university has cultivated partnerships with 200 different institutions across over 40 countries worldwide.RMIT is ranked 123rd globally (QS Rankings 2025) and ranked 3rd globally in reducing inequality (Times Higher Education Impact Rankings 2022). Students from around the world are welcomed to the university, and it has an extensive exchange program for students who wish to study here as part of a degree undertaken elsewhere.The university is a specialist in applied learning, including practical and industry-based study. Working alongside some of the biggest brands in the world such as Deloitte, Adidas and BMW, RMIT offers programs that are designed to ensure students are ready to step into an exciting career upon graduation. Many of the programs include placement opportunities, work experience options and internships."
